Name,City,Website,Email,Phone,Instagram,Notes
Savills Manchester,Manchester,savills.co.uk,manchester@savills.com,+441612362121,@savills,Global brand with strong Manchester presence
Knight Frank Manchester,Manchester,knightfrank.co.uk,manchester@knightfrank.com,+441612360980,@knightfrank,Prime residential and commercial Manchester
Bridgfords Manchester,Manchester,bridgfords.co.uk,manchester@bridgfords.co.uk,+441618282222,@bridgfords,Large independent; strong Northern England presence
Purplebricks Manchester,Manchester,purplebricks.co.uk,info@purplebricks.co.uk,+443301755000,@purplebricks,Online-first; HQ in UK; tech-savvy agents
Reeds Rains Manchester,Manchester,reedsrains.co.uk,manchester@reedsrains.co.uk,+441612364040,@reedsrains,National chain; well-established in Manchester
Gascoigne Halman,Manchester,gascoignehalman.co.uk,info@gascoignehalman.co.uk,+441619416869,@gascoignehalman,Cheshire/Greater Manchester specialist
Whitegates Manchester,Manchester,whitegates.co.uk,manchester@whitegates.co.uk,+441612340000,@whitegates,Residential sales and lettings Manchester
Savills Birmingham,Birmingham,savills.co.uk,birmingham@savills.com,+441216325555,@savills,Prime property across Midlands
Knight Frank Birmingham,Birmingham,knightfrank.co.uk,birmingham@knightfrank.com,+441216483600,@knightfrank,Commercial and residential Midlands
Connells Birmingham,Birmingham,connells.co.uk,birmingham@connells.co.uk,+441214504000,@connellsestateagents,Large national; big Birmingham branch
Arden Estates Birmingham,Birmingham,ardenestates.co.uk,info@ardenestates.co.uk,+441216862222,@ardenestates,Independent Solihull/Birmingham agency
Paul Carr Estate Agents,Birmingham,paulcarr.co.uk,info@paulcarr.co.uk,+441543480163,@paulcarrestateagents,Established independent Midlands agency
Savills Leeds,Leeds,savills.co.uk,leeds@savills.com,+441132201030,@savills,Residential and commercial in Yorkshire
Dacre Son & Hartley,Leeds,dacres.co.uk,leeds@dacres.co.uk,+441132037820,@dacres_property,Long-established Yorkshire agency
Manning Stainton,Leeds,manningstainton.co.uk,info@manningstainton.co.uk,+441132390000,@manningstainton,Large Leeds-focused independent agency
Linley & Simpson,Leeds,linleyandsimpson.co.uk,info@linleyandsimpson.co.uk,+441132446736,@linleyandsimpson,Yorkshire residential; strong lettings arm
Emsleys Estate Agents,Leeds,emsleys.co.uk,info@emsleys.co.uk,+441132321000,@emsleys,East Leeds specialist; family-run
Donaldsons Estate Agents Leeds,Leeds,donaldsons.co.uk,info@donaldsons.co.uk,+441132789900,@donaldsonsleeds,Residential sales and lettings in Leeds
Richard Kendall Estate Agents,Leeds,richardkendall.co.uk,info@richardkendall.co.uk,+441924291294,@richardkendall,Wakefield/Leeds area specialist
Reeds Rains Leeds,Leeds,reedsrains.co.uk,leeds@reedsrains.co.uk,+441132453780,@reedsrains,National brand with strong Leeds presence
