Name,City,Website,Email,Phone,Instagram,Notes
Metro Plumb Manchester,Manchester,metroplumb.co.uk,info@metroplumb.co.uk,+441612731000,@metroplumb,National franchise with Manchester branch; emergency callouts
Gas & Plumbing Services Manchester,Manchester,gasandplumbingservices.co.uk,info@gasandplumbingservices.co.uk,+441614410777,@gasplumbmanchester,Local specialist; boiler installs and repairs
Plumbforce Direct Manchester,Manchester,plumbforcedirect.co.uk,info@plumbforcedirect.co.uk,+441614760800,@plumbforcedirect,24hr emergency plumber; strong Google reviews
Manchester Gas Services,Manchester,manchestergasservices.co.uk,info@manchestergasservices.co.uk,+441612731234,@manchestergasservices,Gas safe registered; boiler and heating specialist
Heatcare Manchester,Manchester,heatcare.co.uk,info@heatcare.co.uk,+441615241000,@heatcaremanchester,Central heating and plumbing; established local firm
Bright Spark Electricians Manchester,Manchester,brightsparkelectrical.co.uk,info@brightsparkelectrical.co.uk,+441618321010,@brightsparkmcr,NICEIC approved; residential and commercial
Powerforce Electrical Manchester,Manchester,powerforceltd.co.uk,info@powerforceltd.co.uk,+441618510500,@powerforcemcr,EV charger installs + rewires; growing niche
MEB Electrical Manchester,Manchester,mebelectrical.co.uk,info@mebelectrical.co.uk,+441612374400,@mebelectricalmcr,Domestic electrical; fuse board upgrades
Metro Plumb Birmingham,Birmingham,metroplumb.co.uk,info@metroplumb.co.uk,+441216390111,@metroplumb,National franchise; Birmingham branch
Midlands Plumbing & Heating,Birmingham,midlandsplumbingandheating.co.uk,info@midlandsplumbingandheating.co.uk,+441214400999,@midlandsplumbing,Boilers, bathrooms, radiators across Midlands
DrainMaster Birmingham,Birmingham,drainmasterbirmingham.co.uk,info@drainmasterbirmingham.co.uk,+441213560700,@drainmasterbham,Drain unblocking and plumbing repairs
Plumbing & Heating Solutions Birmingham,Birmingham,phsbirmingham.co.uk,info@phsbirmingham.co.uk,+441215501200,@phsbirmingham,Established Brum plumbing company; good reviews
Bright Electrical Birmingham,Birmingham,brightelectricalbirmingham.co.uk,info@brightelectricalbirmingham.co.uk,+441214480900,@brightelectricalbham,NICEIC domestic installer; fuse boards and rewires
Apex Electrical Services Birmingham,Birmingham,apexelectricalbirmingham.co.uk,info@apexelectricalbirmingham.co.uk,+441213221100,@apexelectricalbham,Commercial and domestic; EV chargers
Metro Plumb Leeds,Leeds,metroplumb.co.uk,info@metroplumb.co.uk,+441132008800,@metroplumb,National franchise; Leeds branch
Yorkshire Plumbing & Heating,Leeds,yorkshireplumbingandheating.co.uk,info@yorkshireplumbingandheating.co.uk,+441132543210,@yorkshireplumbing,Leeds-based boiler specialists; Google guaranteed
Leeds Emergency Plumber,Leeds,leedsemergencyplumber.co.uk,info@leedsemergencyplumber.co.uk,+441132234455,@leedsemergencyplumber,24/7 callout; quick-response local plumber
PowerPoint Electrical Leeds,Leeds,powerpointelectricalleeds.co.uk,info@powerpointelectricalleeds.co.uk,+441132890600,@powerpointleedselectric,Domestic NICEIC electrician in Leeds
Electra Electrical Leeds,Leeds,electraelectrical.co.uk,info@electraelectrical.co.uk,+441132670400,@electraelectricalleeds,Solar, EV chargers and rewires in Leeds
Yorkshire Electrical Services,Leeds,yorkshireelectricalservices.co.uk,info@yorkshireelectricalservices.co.uk,+441132450300,@yorkshireelectrical,Commercial and domestic Leeds electrician
