Name,City,Website,Email,Phone,Instagram,Notes
Toni & Guy Manchester,Manchester,toniandguy.com/manchester,,+44 161 834 7501,@toniandguy,Deansgate; major chain salon
Rush Hair Manchester,Manchester,rushhair.com,,+44 161 832 0000,@rushhair,Northern Quarter; national chain
HOB Salons Manchester,Manchester,hobsalons.com,,+44 161 839 6888,@hobsalons,City centre Manchester
Headmasters Manchester,Manchester,headmasters.co.uk,,+44 161 832 3744,@headmasterssalons,Trafford Centre location
Andrew Collinge Manchester,Manchester,andrewcollinge.com,info@andrewcollinge.com,+44 161 832 0066,@andrewcollinge,Manchester city centre
The Bluebird Salon,Manchester,thebluebirdmcr.co.uk,hello@thebluebirdmcr.co.uk,+44 161 236 1900,@thebluebirdmcr,Northern Quarter; boutique indie
Terence Paul Salons,Manchester,terencepaul.com,info@terencepaul.com,+44 161 832 7742,@terencepaulhair,City centre Manchester; award-winning
Karine Jackson,Birmingham,karinejackson.co.uk,info@karinejackson.co.uk,+44 121 236 8123,@karinejackson,Birmingham city centre; eco salon
Mark Glenn Birmingham,Birmingham,markglenn.com,info@markglenn.com,+44 121 200 3300,@markglenn,Birmingham; extension specialists
Toni & Guy Birmingham,Birmingham,toniandguy.com/birmingham,,+44 121 633 0022,@toniandguy,Bullring & Grand Central
Rush Hair Birmingham,Birmingham,rushhair.com,,+44 121 616 0060,@rushhair,Birmingham city centre
Headmasters Leeds,Leeds,headmasters.co.uk,,+44 113 243 1922,@headmasterssalons,Leeds city centre
John Corbett Salons Leeds,Leeds,johncorbett.co.uk,info@johncorbett.co.uk,+44 113 245 9555,@johncorbet,Leeds; independent multi-award winner
Cutting Edge Leeds,Leeds,cuttingedgeleeds.co.uk,book@cuttingedgeleeds.co.uk,+44 113 246 1100,@cuttingedgeleeds,Leeds city centre; creative salon
Rush Hair Leeds,Leeds,rushhair.com,,+44 113 244 6600,@rushhair,Trinity Leeds shopping centre
Scott James Salon Birmingham,Birmingham,scottjamessalon.co.uk,info@scottjamessalon.co.uk,+44 121 455 7792,@scottjamessalon,Harborne; award-winning
Barrie Stephen Hair,Leeds,barriestephen.co.uk,info@barriestephen.co.uk,+44 113 243 0990,@barriestephenhair,Leeds & surrounding area
David Rozman Salon Manchester,Manchester,davidrozmansalon.co.uk,hello@davidrozmansalon.co.uk,+44 161 839 3330,@davidrozman,Manchester city; colour specialists
Alan Howard Salons,Manchester,alanhoward.co.uk,info@alanhoward.co.uk,+44 161 228 1800,@alanhoward,Multiple Manchester locations
Hooker & Young,Leeds,hookerandyoung.co.uk,info@hookerandyoung.co.uk,+44 191 261 2824,@hookerandyoung,Leeds & Newcastle; award-winning
