Name,City,Website,Email,Phone,Instagram,Notes
Bupa Dental Manchester,Manchester,bupa.co.uk/dental,,+44 800 273 8162,@bupadental,Multiple Manchester clinics
mydentist Manchester,Manchester,mydentist.co.uk,,+44 800 042 0000,@mydentistuk,Multiple Manchester locations; largest UK chain
Portman Dental Manchester,Manchester,portmandentistry.com,,+44 161 834 5678,@portmandental,Manchester city centre
Enlighten Dental Manchester,Manchester,enlightendental.co.uk,info@enlightendental.co.uk,+44 161 834 0600,@enlightendentalmcr,Deansgate; cosmetic specialists
Dental Care Group Manchester,Manchester,dentalcaregroup.co.uk,info@dentalcaregroup.co.uk,+44 161 832 1001,@dentalcaremcr,Multiple Manchester locations; NHS & private
Smiles Dental Manchester,Manchester,smilesdentalmanchester.co.uk,hello@smilesdentalmanchester.co.uk,+44 161 236 7890,@smilesdentalmcr,Northern Quarter; private cosmetic
Pure Dental Birmingham,Birmingham,puredentaluk.co.uk,info@puredentaluk.co.uk,+44 121 236 9900,@puredentaluk,Birmingham city centre
Dental Suite Birmingham,Birmingham,dentalsuite.co.uk,enquiries@dentalsuite.co.uk,+44 121 233 8833,@dentalsuitebhm,Nottingham & Birmingham; cosmetic
Aesthetic Smiles Birmingham,Birmingham,aestheticsmilesuk.co.uk,info@aestheticsmilesuk.co.uk,+44 121 455 7800,@aestheticsmilesbhm,Sutton Coldfield; cosmetic dentistry
Bupa Dental Birmingham,Birmingham,bupa.co.uk/dental,,+44 800 273 8162,@bupadental,Multiple Birmingham clinics
mydentist Birmingham,Birmingham,mydentist.co.uk,,+44 800 042 0000,@mydentistuk,Multiple Birmingham locations
Leeds Dental Studio,Leeds,leedsdental.co.uk,info@leedsdental.co.uk,+44 113 244 0066,@leedsdentalstudio,Leeds city centre; cosmetic
Bupa Dental Leeds,Leeds,bupa.co.uk/dental,,+44 800 273 8162,@bupadental,Multiple Leeds clinics
mydentist Leeds,Leeds,mydentist.co.uk,,+44 800 042 0000,@mydentistuk,Multiple Leeds locations
The Dental Surgery Leeds,Leeds,thedentalsurgery.co.uk,reception@thedentalsurgery.co.uk,+44 113 245 8811,@dentalsurgeryleeds,Harrogate Road; NHS & private
Tees Dental Stockton,Stockton,teesdental.co.uk,hello@teesdental.co.uk,+44 1642 646464,@teesdental,Northeast England; cosmetic specialists
Peninsula Dental Glasgow,Glasgow,peninsuladental.co.uk,info@peninsuladental.co.uk,+44 141 332 6888,@peninsuladental,Glasgow city centre
Cherrybank Dental Spa Edinburgh,Edinburgh,cherrybankdental.co.uk,reception@cherrybankdental.co.uk,+44 131 312 0000,@cherrybankdental,Edinburgh; luxury dental spa
Harbour House Dental Bristol,Bristol,harbourhousedental.co.uk,info@harbourhousedental.co.uk,+44 117 925 1700,@harbourhousedental,Bristol docks; modern dental
Asha Dental Care Nottingham,Nottingham,ashadentalcare.co.uk,info@ashadentalcare.co.uk,+44 115 948 3000,@ashadentalcare,Nottingham; cosmetic & general
