Name,City,Website,Email,Phone,Instagram,Notes
PureGym Manchester,Manchester,puregym.com,,+44 3444 77 88 99,@puregym,Multiple Manchester locations
Virgin Active Manchester,Manchester,virginactive.co.uk,,+44 161 832 9100,@virginactivecities,Manchester city centre
David Lloyd Manchester,Manchester,davidlloyd.co.uk,,+44 800 316 7747,@davidlloyduk,Multiple Manchester locations
F45 Training Manchester,Manchester,f45training.com,,+44 161 312 0045,@f45training,Northern Quarter & Spinningfields
Gym Addict Manchester,Manchester,gymaddict.co.uk,info@gymaddict.co.uk,+44 161 228 1800,@gymaddictmcr,Independent boutique gym
The Gym Group Manchester,Manchester,thegymgroup.com,,+44 800 195 8080,@thegymgroup,Multiple Manchester sites
Anytime Fitness Manchester,Manchester,anytimefitness.co.uk,,+44 161 830 1000,@anytimefitnessuk,24hr; multiple Manchester locations
Nuffield Health Manchester,Manchester,nuffieldhealth.com,,+44 161 832 6565,@nuffieldhealth,Manchester & Salford
Better Leisure Centres Manchester,Manchester,better.org.uk,,+44 161 234 5678,@better_uk,Multiple community gyms Manchester
PureGym Birmingham,Birmingham,puregym.com,,+44 3444 77 88 99,@puregym,Multiple Birmingham locations
David Lloyd Birmingham,Birmingham,davidlloyd.co.uk,,+44 800 316 7747,@davidlloyduk,Birmingham; family sports club
Virgin Active Birmingham,Birmingham,virginactive.co.uk,,+44 121 616 9900,@virginactivecities,Birmingham city centre
Anytime Fitness Birmingham,Birmingham,anytimefitness.co.uk,,+44 800 047 5760,@anytimefitnessuk,Multiple Birmingham locations
The Gym Group Birmingham,Birmingham,thegymgroup.com,,+44 800 195 8080,@thegymgroup,Multiple Birmingham locations
F45 Training Birmingham,Birmingham,f45training.com,,+44 121 234 0045,@f45training,Edgbaston & city centre
Nuffield Health Birmingham,Birmingham,nuffieldhealth.com,,+44 121 454 3000,@nuffieldhealth,Birmingham & Solihull
BodyPump Gym Birmingham,Birmingham,bodypump.co.uk,info@bodypump.co.uk,+44 121 448 3490,@bodypumpbirmingham,South Birmingham; independent
The Movement Hub Manchester,Manchester,movementhub.co.uk,hello@movementhub.co.uk,+44 161 839 7700,@movementhubmcr,Functional fitness; boutique
Flow Athletic Manchester,Manchester,flowathletic.co.uk,info@flowathletic.co.uk,+44 161 274 3388,@flowathleticmcr,Yoga & HIIT combined
Resilience Gym Birmingham,Birmingham,resiliencegym.co.uk,info@resiliencegym.co.uk,+44 121 523 4567,@resiliencegymuk,Strength & conditioning
