Name,City,Website,Email,Phone,Instagram,Notes
Katz's Delicatessen,New York,katzsdelicatessen.com,info@katzsdelicatessen.com,+12122542246,@katzsdelicatessen,Iconic Lower East Side deli; strong tourist draw
Balthazar,New York,balthazarny.com,info@balthazarny.com,+12126651005,@balthazarny,Popular SoHo brasserie; active on Instagram
Le Bernardin,New York,le-bernardin.com,info@le-bernardin.com,+12124890300,@lebernardinny,Michelin-starred seafood; high-end clientele
Gramercy Tavern,New York,gramercytavern.com,info@gramercytavern.com,+12124770777,@gramercytavern,Danny Meyer restaurant; consistent top ratings
Shake Shack (HQ),New York,shakeshack.com,info@shakeshack.com,+16463893916,@shakeshack,Fast casual chain HQ in NYC; large social following
Eleven Madison Park,New York,elevenmadisonpark.com,info@elevenmadisonpark.com,+12128890905,@elevenmadisonpark,World-class fine dining; Michelin starred
The River Café,New York,rivercafe.com,info@rivercafe.com,+17185225200,@therivercafeny,Brooklyn waterfront icon; anniversary/events focused
Russ & Daughters Café,New York,russanddaughterscafe.com,info@russanddaughterscafe.com,+12127978400,@russanddaughters,Lower East Side Jewish deli classic
Carbone,New York,carbonenewyork.com,info@carbonenewyork.com,+12122289000,@carbonenewyork,Trendy Italian; celebrity hotspot; very active IG
Sylvia's Restaurant,New York,sylviasrestaurant.com,info@sylviasrestaurant.com,+12129969212,@sylviasrestaurantharlem,Harlem soul food institution
Joe's Pizza,New York,joespizzanyc.com,info@joespizzanyc.com,+12123667182,@joespizzanyc,Greenwich Village pizza legend; high foot traffic
Momofuku Noodle Bar,New York,momofuku.com,info@momofuku.com,+12127779328,@momolongplay,David Chang's flagship; strong brand
The Smith,New York,thesmithrestaurant.com,info@thesmithrestaurant.com,+12122804900,@thesmithrestaurant,Popular American brasserie; multiple NYC locations
Peter Luger Steak House,New York,peterluger.com,info@peterluger.com,+17183874700,@peterlugersteakhouse,Famous Brooklyn steakhouse; loyal following
Grimaldi's Pizzeria,New York,grimaldis.com,info@grimaldis.com,+17182583300,@grimaldispizzeria,Brooklyn Bridge area pizza institution
Veselka,New York,veselka.com,info@veselka.com,+12122289682,@veselkanyc,East Village Ukrainian diner; 24hr; loyal regulars
Cookshop,New York,cookshopny.com,info@cookshopny.com,+12126249653,@cookshopny,Chelsea farm-to-table brunch hotspot
Tavern on the Green,New York,tavernonthegreen.com,info@tavernonthegreen.com,+12128671222,@tavernonthegreen,Central Park landmark; events & brunch
Corner Bistro,New York,cornerbistro.com,info@cornerbistro.com,+12124897368,@corner.bistro,West Village burger institution; cash-only icon
Lilia,New York,liliarestaurant.com,info@liliarestaurant.com,+17183765800,@lilianewyork,Williamsburg pasta hotspot; huge IG following
