Name,City,Website,Email,Phone,Instagram,Notes
Gas & Plumbing Solutions,London,gasandplumbingsolutions.co.uk,info@gasandplumbingsolutions.co.uk,+44 20 8819 2994,@gasplumbinguk,North London; Gas Safe registered
London Gas Engineers,London,londongasengineers.co.uk,info@londongasengineers.co.uk,+44 20 8346 7500,@londongaseng,Accredited gas & heating
PlumbRight London,London,plumbrightlondon.co.uk,service@plumbrightlondon.co.uk,+44 20 8960 7640,@plumbrightlondon,West London; 24/7 emergency
Emergency Plumber London,London,emergencyplumber.london,help@emergencyplumber.london,+44 20 3838 1234,@emergencyplumberuk,24hr citywide service
RDS London Plumbers,London,rdslondon.co.uk,office@rdslondon.co.uk,+44 20 8809 3210,@rdslondon,North & East London
Pimlico Plumbers,London,pimlicoplumbers.com,office@pimlicoplumbers.com,+44 20 7928 8888,@pimlicoplumbers,Famous London contractor; all trades
British Gas Services,London,britishgas.co.uk,,+44 800 048 0202,@britishgas,National but major London presence
Dyno Plumbing London,London,dyno.com,,+44 800 000 001,@dynoplumbing,National emergency plumbing chain
Your Local Plumber,London,yourlocalplumber.co.uk,info@yourlocalplumber.co.uk,+44 20 8133 0450,@yourlocalplumberuk,South London focus
Fast Response Plumbing,London,fastresponseplumbing.co.uk,contact@fastresponseplumbing.co.uk,+44 20 7736 4570,@fastresponseplumbing,SW London; boiler specialists
London Contractors Group,London,londoncontractorsgroup.co.uk,info@londoncontractorsgroup.co.uk,+44 20 8452 8800,@lcgroupuk,General building & renovation
Capital Plumbing & Heating,London,capitalplumbingheating.co.uk,info@capitalplumbingheating.co.uk,+44 20 8531 0321,@capitalplumbinguk,East London; heating specialists
SureFire Plumbing,London,surefireplumbing.co.uk,enquiries@surefireplumbing.co.uk,+44 20 8807 4455,@surefireplumbing,North London; gas safe
London Plumbing & Drainage,London,londonplumbinganddrainage.co.uk,info@londonplumbinganddrainage.co.uk,+44 20 3687 1100,@lpdlondon,Drainage & full plumbing
Multitask London,London,multitasklondon.co.uk,hello@multitasklondon.co.uk,+44 20 7100 0699,@multitasklondon,Handy/contractor marketplace
AllTrades London,London,alltradesuk.co.uk,contact@alltradesuk.co.uk,+44 20 8987 7620,@alltradesuk,General building trades
Aspect Maintenance,London,aspect.co.uk,info@aspect.co.uk,+44 20 7733 0050,@aspectmaintenance,Property maintenance London-wide
ProLondon Builders,London,prolongdonbuilders.co.uk,office@prolongdonbuilders.co.uk,+44 20 8455 0912,@prolongdonbuilders,Renovations & extensions
London Bathroom Fitters,London,londonbathroomfitters.co.uk,info@londonbathroomfitters.co.uk,+44 20 8800 7788,@lbfitters,Bathroom installation specialists
EcoHeat London,London,ecoheatlondon.co.uk,info@ecoheatlondon.co.uk,+44 20 7278 5620,@ecoheatlondon,Eco heating & plumbing
