Name,City,Website,Email,Phone,Instagram,Notes
Douglas Elliman Real Estate,New York,elliman.com,info@elliman.com,+12125068200,@elliman,Large brokerage; multiple agents to target
Corcoran Group,New York,corcoran.com,info@corcoran.com,+12125355000,@theCorcoranGroup,Top NYC brokerage with strong social presence
Compass Real Estate NYC,New York,compass.com,info@compass.com,+12126323700,@compass,Tech-forward brokerage; good fit for AI tools
Brown Harris Stevens,New York,bhsusa.com,info@bhsusa.com,+12125062400,@brownharrisstevens,Luxury NYC market specialist
Sotheby's International Realty NY,New York,sothebysrealty.com,info@sothebysrealty.com,+12126062400,@sothebysrealty,High-end listings; strong brand
Halstead Real Estate,New York,halstead.com,info@halstead.com,+12127776644,@halsteadrealestate,Manhattan/Brooklyn focus
Warburg Realty,New York,warburgrealty.com,info@warburgrealty.com,+12128969060,@warburgrealty,Boutique luxury NYC agency
Bond New York,New York,bondnewyork.com,info@bondnewyork.com,+12129896565,@bondnewyork,Fast-growing NYC brokerage
Nest Seekers International,New York,nestseekers.com,info@nestseekers.com,+12129658066,@nestseekers,Global reach with NYC base
Leslie J. Garfield & Co.,New York,lesliejgarfield.com,info@lesliejgarfield.com,+12128440190,@lesliejgarfield,Townhouse specialists in NYC
Coldwell Banker Realty LA,Los Angeles,coldwellbanker.com,info@coldwellbanker.com,+13104783700,@coldwellbankerhomes,Huge LA presence; many individual agents
Hilton & Hyland,Los Angeles,hiltonhyland.com,info@hiltonhyland.com,+13108549900,@hiltonandhyland,Beverly Hills luxury specialist
The Agency RE,Los Angeles,theagencyre.com,info@theagencyre.com,+14244230600,@theagencyre,High-profile LA brokerage with strong Instagram
Keller Williams Beverly Hills,Los Angeles,kwbeverlyhills.com,info@kwbeverlyhills.com,+13108500050,@kwbeverlyhills,Large agent network in LA
Carolwood Estates,Los Angeles,carolwoodestates.com,info@carolwoodestates.com,+13108288535,@carolwoodestates,Celebrity-clientele Beverly Hills agency
Rodeo Realty,Los Angeles,rodeore.com,info@rodeore.com,+18185487400,@rodeorealty,Large independent LA brokerage
Pacific Sotheby's International Realty,Los Angeles,pacificsothebysrealty.com,info@pacificsothebysrealty.com,+18583695680,@pacificsothebysrealty,Southern CA luxury market
Nourmand & Associates,Los Angeles,nourmand.com,info@nourmand.com,+13108600900,@nourmandrealestate,Hollywood Hills & Beverly Hills specialist
Compass Real Estate LA,Los Angeles,compass.com,la@compass.com,+13106300900,@compass,Strong LA market presence; tech-savvy agents
John Aaroe Group,Los Angeles,aaroe.com,info@aaroe.com,+13238520002,@johnaaroe,Boutique LA brokerage with local expertise
