Name,City,Website,Email,Phone,Instagram,Notes
Foxtons,London,foxtons.co.uk,info@foxtons.co.uk,+44 20 7893 6000,@foxtons,Major London estate agency; 60+ branches
Savills London,London,savills.co.uk,,+44 20 7499 8644,@savills,Luxury & prime property
Knight Frank London,London,knightfrank.co.uk,,+44 20 7629 8171,@knightfrank,Prime London & commercial
Hamptons International,London,hamptons.co.uk,,+44 20 7589 8844,@hamptonsproperty,Southwest & Central London focus
Chestertons,London,chestertons.com,info@chestertons.com,+44 20 7591 2000,@chestertonsuk,Multi-borough London agency
Winkworth,London,winkworth.co.uk,,+44 20 7244 7777,@winkworthofficial,30+ London offices; indie brand
Kinleigh Folkard & Hayward,London,kfh.co.uk,info@kfh.co.uk,+44 20 8455 6999,@kfhproperty,40+ London offices; residential focus
Dexters,London,dexters.co.uk,,+44 20 8748 8880,@dextersestate,50+ offices across London
Stirling Ackroyd,London,stirlingackroyd.com,info@stirlingackroyd.com,+44 20 7375 0600,@stirlingackroyd,East & Central London
Johns & Co,London,johnsandco.co.uk,info@johnsandco.co.uk,+44 20 3198 9777,@johnsandco,Canary Wharf & riverside properties
Marsh & Parsons,London,marshandparsons.co.uk,,+44 20 7368 4450,@marshandparsons,West & Central London; 25 offices
Hathaways Estate Agents,London,hathaways.co.uk,sales@hathaways.co.uk,+44 20 8741 7200,@hathaways,Hammersmith & Chiswick
Barnard Marcus,London,barnardmarcus.co.uk,,+44 20 8785 6000,@barnardmarcus,SW & W London; 20+ offices
Andrews Property Group,London,andrewsonline.co.uk,,+44 20 8943 8888,@andrewspropertygroup,Southwest London
Farrar & Co,London,farrar.co.uk,info@farrar.co.uk,+44 20 7351 7811,@farrarandco,Chelsea & Kensington specialist
Black Katz,London,blackkatz.co.uk,info@blackkatz.co.uk,+44 20 7229 6266,@blackkatz,Camden & North London; lettings focus
Portico,London,portico.co.uk,info@portico.co.uk,+44 20 7372 4444,@porticoestate,North & West London
Benham & Reeves,London,benhams.com,info@benhams.com,+44 20 7435 5551,@benhamsandreeves,International client focus; prime areas
Felicity J Lord,London,felicityjlord.co.uk,,+44 20 7226 9090,@felicityjlord,North & East London
Ludlow Thompson,London,ludlowthompson.com,info@ludlowthompson.com,+44 20 7407 7255,@ludlowthompson,SE & E London
