Name,City,Website,Email,Phone,Instagram,Notes
Equinox (Midtown),New York City,https://www.equinox.com,,+1 212-750-4900,@equinox,Premium luxury gym chain; multiple NYC locations
SoulCycle NYC,New York City,https://www.soul-cycle.com,,+1 855-769-8752,@soulcycle,High-energy indoor cycling boutique; 20+ NYC locations
Barry's Bootcamp NYC,New York City,https://www.barrys.com,,+1 212-228-8900,@barrysbootcamp,High-intensity interval training; multiple NYC locations
Rumble Boxing NYC,New York City,https://www.rumble.com,,+1 212-300-6400,@rumbleyeah,Boutique boxing fitness studio; NYC and beyond
Brooklyn Boulders,New York City,https://www.brooklynboulders.com,,+1 347-834-9066,@brooklynboulders,Indoor climbing gym; Queensbridge and other NYC locations
DOGPOUND Gym,New York City,https://www.thedogpound.com,,+1 212-203-3400,@dogpound,Celebrity-favored gym; West Village NYC
Tone House,New York City,https://www.tonehouse.com,,+1 212-204-7800,@tonehousenyc,High-performance athletic training; Midtown NYC
Row House NYC,New York City,https://www.rowhousestudio.com,,+1 646-580-3150,@rowhousestudio,Boutique rowing studio; multiple Manhattan locations
Performix House,New York City,https://www.performixhouse.com,,+1 212-956-3560,@performixhouse,Private luxury gym in Midtown; members only
CrossFit NYC,New York City,https://www.crossfitnyc.com,,+1 212-427-8338,@crossfitnyc,Original NYC CrossFit affiliate; UES location
Fhitting Room,New York City,https://www.thefhittingroom.com,,+1 212-686-1500,@fhittingroom,HIIT boutique; multiple NYC locations
New York Sports Club,New York City,https://www.nysc.com,,+1 800-796-6972,@nysportsclub,Major NYC gym chain; 40+ metro locations
Lifted NYC,New York City,https://www.liftednyc.com,,+1 646-360-3255,@liftednyc,Strength training boutique in Lower East Side
Brick New York,New York City,https://www.bricknewyork.com,,+1 212-399-3200,@bricknewyork,Gym and cycle studio in Hell's Kitchen
Y7 Studio,New York City,https://www.y7-studio.com,,+1 212-239-1990,@y7studio,Hip-hop yoga studios; multiple NYC locations
SLT NYC,New York City,https://www.slt.nyc,,+1 212-219-2900,@sltstudio,Pilates-based sculpt studio; multiple NYC locations
The Athletic Space,New York City,https://www.theathleticspace.com,,+1 718-576-6101,@theathleticspace,Brooklyn-based functional fitness gym
Overthrow Boxing Club,New York City,https://www.overthrownewyork.com,,+1 212-655-0900,@overthrowboxingclub,Downtown NYC boxing club; Greenwich Village
SweatNYC,New York City,https://www.sweatnyc.com,,+1 212-729-7300,@sweatnyc,Group fitness boutique; various Manhattan locations
Kore Konnect,New York City,https://www.korekonnect.com,,+1 347-770-9000,@korekonnectnyc,Brooklyn Pilates and barre studio
