Name,City,Website,Email,Phone,Instagram,Notes
Rita Hazan Salon,New York City,https://ritahazan.com,,+1 212-586-4343,@ritahazan,Luxury color salon on E 60th St; celebrity clientele including Beyoncé and J-Lo
Bumble and bumble,New York City,https://www.bumbleandbumble.com,,+1 212-521-6600,@bumbleandbumble,Iconic Meatpacking District salon and hair care brand
Oscar Blandi Salon,New York City,https://www.oscarblandi.com,,+1 212-988-9404,@oscarblandi,Upper East Side luxury salon; known for blowouts and color
Cutler Salon,New York City,https://www.cutlersalon.com,,+1 212-308-3838,@cutlersalon,High-end salon in the Surrey Hotel; editorial styling
Frédéric Fekkai Salon,New York City,https://fekkai.com,,+1 212-753-9500,@fekkai,Legendary luxury hair salon on 5th Avenue
Nunzio Saviano Salon,New York City,https://www.nunziosaviano.com,,+1 212-722-0380,@nunziosaviano,East 76th St; specialist in textured and curly hair
Serge Normant at John Frieda,New York City,https://www.johnfrieda.com,,+1 212-879-1000,@johnnfriedanyc,A-list celebrity stylist; Upper East Side
Vanderbilt Studio,New York City,https://www.vanderbiltstudio.com,,+1 212-599-0200,@vanderbiltstudio,Murray Hill boutique salon; blowouts and color
Spoke & Weal,New York City,https://www.spokeandweal.com,,+1 212-988-7600,@spokeandweal,Upscale Midtown salon with multiple NYC locations
Cutler Soho,New York City,https://www.cutlersalon.com,,+1 212-219-1919,@cutlersalon,Soho location of the Cutler brand
IN Salon NYC,New York City,https://www.insalonnyc.com,,+1 212-226-1900,@insalonnyc,Soho-based modern salon; color and cuts
Warren Tricomi Salon,New York City,https://www.warrentricomi.com,,+1 212-262-8899,@warrentricomi,Plaza Hotel location; fashion-forward cuts and color
Salon Ziba,New York City,https://www.salonzibanyc.com,,+1 212-966-3500,@salonzibanyc,Tribeca boutique; known for lived-in color
Kennaland,New York City,https://kennaland.com,,+1 212-219-8477,@kennaland,Soho salon; editorial and fashion hair
Whittemore House,New York City,https://whittemorehouse.com,,+1 212-929-4400,@whittemorehouse,West Village women's salon; natural beauty focus
Jenna Groover Salon,New York City,https://www.jennagrooversalon.com,,+1 212-477-3900,@jennagrooversalon,East Village boutique; color specialists
Salon 718,Brooklyn NY,https://www.salon718.com,,+1 718-302-7180,@salon718,Williamsburg Brooklyn; creative cuts and color
La Palapa Salon,New York City,https://www.lapalapa.com,,+1 212-252-9900,@lapalapabeauty,Boutique salon in Union Square area
Amoy Beauty Salon,New York City,https://www.amoybeauty.com,,+1 212-966-0201,@amoybeauty,Chinatown/LES; affordable hair and beauty
Hair Rules Salon,New York City,https://hairrules.com,,+1 212-979-8080,@hairrules,Curly and textured hair specialists; Union Square
