Name,City,Website,Email,Phone,Instagram,Notes
Bupa Dental London,London,bupa.co.uk/dental,,+44 800 273 8162,@bupadental,Multiple London clinics; major provider
Dental Excellence,London,dentalexcellence.co.uk,info@dentalexcellence.co.uk,+44 20 7580 0900,@dentalexcellence,Marylebone; cosmetic & general
The Smile Studios,London,thesmilestudios.co.uk,hello@thesmilestudios.co.uk,+44 20 8004 2303,@thesmilestudios,Multiple London locations; modern dental
Portman Dental Care,London,portmandentistry.com,,+44 20 7408 0070,@portmandental,Harley Street & multiple London
mydentist London,London,mydentist.co.uk,,+44 800 042 0000,@mydentistuk,Multiple London locations; largest UK chain
Smileworks,London,smileworks.co.uk,hello@smileworks.co.uk,+44 20 3745 2220,@smileworks,Marylebone; cosmetic specialists
52 Dental,London,52dental.co.uk,info@52dental.co.uk,+44 20 7589 7762,@52dental,Knightsbridge; premium dental
Perfect Smile Dental Studio,London,perfectsmiledental.co.uk,info@perfectsmiledental.co.uk,+44 20 8367 0050,@perfectsmiledental,North London; cosmetic focus
Centre for Cosmetic Dentistry,London,cosmeticdentistry.co.uk,enquiries@cosmeticdentistry.co.uk,+44 20 7584 8822,@ccdlondon,Chelsea; specialist cosmetic
Harley Street Dental Studio,London,harleystreetdental.com,info@harleystreetdental.com,+44 20 7636 5981,@harleystreetdental,Central London; prestige location
Isodontic,London,isodontic.com,info@isodontic.com,+44 20 7616 2424,@isodontic,Mayfair; implants & cosmetics
Bank Dental,London,bankdental.co.uk,hello@bankdental.co.uk,+44 20 7626 2222,@bankdental,City of London; executive clientele
Dental Boutique,London,dentalboutique.co.uk,info@dentalboutique.co.uk,+44 20 3488 0630,@dentalboutique,Multiple London locations
White & Co Dental,London,whiteandco.dental,hello@whiteandco.dental,+44 20 7702 0030,@whiteandcodental,Bermondsey; modern aesthetic
TDC Implants & Orthodontics,London,tdc.co.uk,info@tdc.co.uk,+44 20 7580 5370,@tdclondon,Harley St; specialist implants
The Dental Spa,London,thedentalspa.co.uk,reception@thedentalspa.co.uk,+44 20 7403 5522,@thedentalspa,Borough; spa-style dental experience
Watson Dental,London,watsondental.co.uk,info@watsondental.co.uk,+44 20 8541 2028,@watsondental,Kingston & SW London
Emergency Dental London,London,emergencydentalclinics.co.uk,info@emergencydentalclinics.co.uk,+44 20 8038 6110,@emergencydentaluk,24hr access; multiple locations
Smart Dental,London,smartdentallondon.co.uk,info@smartdentallondon.co.uk,+44 20 7935 7630,@smartdentallondon,Marylebone; NHS & private
Elleven Dental,London,elevendental.co.uk,info@elevendental.co.uk,+44 20 7927 9770,@elevendental,St Paul's & Belgravia; high-end cosmetic
