Name,City,Website,Email,Phone,Instagram,Notes
Hershesons,London,hershesons.com,,+44 20 7434 1747,@hershesons,Multiple London locations; premium hair salon chain
Josh Wood Colour,London,joshwoodcolour.com,hello@joshwoodcolour.com,+44 20 7792 8545,@joshwoodcolour,Celebrity colourist; Notting Hill location
Daniel Galvin,London,danielgalvin.com,info@danielgalvin.com,+44 20 7486 9661,@danielgalvinlondon,Established Mayfair salon; high-end clientele
Nicky Clarke,London,nickyclarke.com,enquiries@nickyclarke.com,+44 20 7491 4700,@nickyclarkelondon,Mayfair; celebrity stylist
Richard Ward,London,richardward.com,enquiries@richardward.com,+44 20 7730 1400,@richardward,Chelsea; Royal Warrant holder
Michaeljohn,London,michaeljohn.co.uk,salon@michaeljohn.co.uk,+44 20 7629 6969,@michaeljohn,Mayfair; established luxury salon
Larry King,London,larrykingsalon.com,hello@larrykingsalon.com,+44 20 3559 0007,@larrykingsalon,Soho; editorial/creative focused
Bleach London,London,bleachlondon.com,hello@bleachlondon.com,+44 20 7723 4488,@bleachlondon,Notting Hill & Soho; colour specialists
Taylor Taylor London,London,taylortaylorlondon.com,info@taylortaylorlondon.com,+44 20 7920 6400,@taylortaylorlondon,Multiple London locations
HOB Salons,London,hobsalons.com,info@hobsalons.com,+44 20 8202 4424,@hobsalons,Multiple locations across London
SACO Hair,London,sacohair.com,info@sacohair.com,+44 20 7226 9700,@sacohair,Camden & Covent Garden
Toni & Guy London,London,toniandguy.com,,+44 20 7836 0606,@toniandguy,Covent Garden flagship
Rush Hair London,London,rushhair.com,info@rushhair.com,+44 20 7240 6448,@rushhair,Multiple London locations
John Frieda London,London,johnfrieda.co.uk,,+44 20 7491 0840,@johnfriedahair,Mayfair; iconic British brand
Lisa Shepherd,London,lisashepherd.co.uk,hello@lisashepherd.co.uk,+44 20 7486 6066,@lisashepherdsalon,Marylebone; colour specialist
Adam Reed,London,adamreed.com,info@adamreed.com,+44 20 7534 8900,@adamreedhair,Fitzrovia; editorial & colour
Headmasters London,London,headmasters.co.uk,,+44 20 7349 1600,@headmasterssalons,Multiple London locations
Errol Douglas,London,erroldouglas.com,enquiries@erroldouglas.com,+44 20 7235 0110,@erroldouglas,Knightsbridge; award-winning
Windle & Moodie,London,windleandmoodie.com,info@windleandmoodie.com,+44 20 7497 2393,@windleandmoodie,Covent Garden
Jo Hansford,London,johansford.com,info@johansford.com,+44 20 7495 7774,@johansfordsalon,Mayfair; colour specialist
