Name,City,Website,Email,Phone,Instagram,Notes
Equinox West Hollywood,Los Angeles,https://www.equinox.com,,+1 310-289-7667,@equinox,Luxury gym chain; multiple LA locations including WeHo and Beverly Hills
SoulCycle Los Angeles,Los Angeles,https://www.soul-cycle.com,,+1 855-769-8752,@soulcycle,Indoor cycling studios; multiple LA/WeHo locations
Barry's Los Angeles,Los Angeles,https://www.barrys.com,,+1 323-657-8900,@barrysbootcamp,Founded in West Hollywood; flagship bootcamp studio
Gold's Gym Venice,Los Angeles,https://www.goldsgym.com,,+1 310-392-6004,@goldsgym,Original Gold's Gym on Venice Beach; bodybuilding institution
CorePower Yoga LA,Los Angeles,https://www.corepoweryoga.com,,+1 310-399-5700,@corepoweryoga,Heated yoga studio chain; many LA locations
Crossroads Fitness,Los Angeles,https://www.crossroadsfitness.com,,+1 310-652-7390,@crossroadsfitla,West Hollywood gym; LGBTQ+ friendly community focus
Plateau Fitness,Los Angeles,https://www.plateaufitness.com,,+1 323-666-1900,@plateaufitnessla,Silverlake neighborhood gym; personal training
Studiomd,Los Angeles,https://www.studiomd.com,,+1 310-566-0550,@studiomdla,Beverly Hills medical fitness and wellness studio
Unbreakable Performance Center,Los Angeles,https://www.unbreakableperformance.com,,+1 310-926-0600,@unbreakable_performance,West Hollywood; celebrity trainer Jay Glazer's gym
Modo Yoga LA,Los Angeles,https://www.modoyogala.com,,+1 323-913-9400,@modoyogala,Silver Lake hot yoga community studio
Sweat Garage,Los Angeles,https://www.sweatgarage.com,,+1 323-364-9750,@sweatgaragela,Hollywood Hills; underground fitness community
Shape House,Los Angeles,https://shapehouse.com,,+1 310-620-6360,@shapehouse,Infrared sweat studio; WeHo and Brentwood locations
Iron + Resin Fitness,Los Angeles,https://www.ironandresin.com,,+1 213-277-5130,@ironandresin,DTLA strength and conditioning gym
Dogtown CrossFit,Los Angeles,https://www.dogtowncrossfit.com,,+1 310-399-5490,@dogtowncrossfit,Venice Beach area CrossFit affiliate
The Spring LA,Los Angeles,https://www.thespringla.com,,+1 213-282-8880,@thespringla,DTLA wellness studio; yoga + fitness + spa
Alo Moves / Alo Yoga Studio,Los Angeles,https://www.alomoves.com,,+1 310-285-9200,@aloyoga,Beverly Hills flagship yoga studio
Rumble Los Angeles,Los Angeles,https://www.rumble.com,,+1 310-300-1100,@rumbleyeah,WeHo boxing fitness boutique studio
Rise Nation,Los Angeles,https://www.risenation.com,,+1 323-870-8700,@risenation,West Hollywood vertical climbing cardio studio
Results Fitness Gym,Los Angeles,https://www.resultsfitness.com,,+1 818-579-7709,@resultsfitnessusa,Santa Clarita/LA; strength-based personal training gym
Crunch Fitness Hollywood,Los Angeles,https://www.crunch.com,,+1 323-464-9400,@crunchfitness,Affordable full-service gym; Hollywood location
