Name,City,Website,Email,Phone,Instagram,Notes
Manhattan Dental Arts,New York City,https://www.manhattandentalarts.com,,+1 212-247-7060,@manhattandentalarts,Midtown West; cosmetic and general dentistry
NYC Dental Associates,New York City,https://www.nycdental.com,,+1 212-697-3466,@nycdental,Midtown Manhattan; full-service modern dental clinic
Park Slope Dental Arts,Brooklyn NY,https://www.parkslopedentalarts.com,,+1 718-622-4223,@parkslopedentalarts,Brooklyn family and cosmetic dentistry
Cosmetic Dentistry of New York,New York City,https://www.cosmeticdentistryofnewyork.com,,+1 212-206-0551,@cosmeticdentnyc,Chelsea; specializes in smile makeovers and veneers
Fine Dental Group,New York City,https://www.finedentalgroup.com,,+1 212-588-1110,@finedentalgroup,Midtown; sedation and cosmetic dentistry
Tribeca Dental Studio,New York City,https://www.tribecadentalstudio.com,,+1 212-267-9390,@tribecadentalstudio,Tribeca neighborhood; modern dental studio
Advanced Dental Arts NYC,New York City,https://www.advanceddentalarts.com,,+1 212-334-3400,@advanceddentalarts,Lower Manhattan; Invisalign and cosmetic dentistry
Dental Rx,New York City,https://www.dentalrxnyc.com,,+1 212-682-7890,@dentalrxnyc,Midtown East; general and restorative dentistry
Murray Hill Dental,New York City,https://www.murrayhilldental.com,,+1 212-889-1100,@murrayhilldental,Murray Hill neighborhood; family dental practice
UES Dental Group,New York City,https://www.uesdental.com,,+1 212-517-6666,@uesdental,Upper East Side; cosmetic and restorative dentistry
West Village Dental,New York City,https://www.westvillagedental.com,,+1 212-741-9293,@westvillagedental,West Village boutique dental clinic
Brooklyn Dental Studio,Brooklyn NY,https://www.brooklyndentalstudio.com,,+1 718-875-9100,@brooklyndentalstudio,Cobble Hill; comprehensive dental care
Riverside Dental NYC,New York City,https://www.riversidedentalnyc.com,,+1 212-864-7070,@riversidedentalnyc,Upper West Side; family and pediatric dentistry
Soho Dental,New York City,https://www.sohodental.com,,+1 212-431-4444,@sohodental,Soho neighborhood modern dental practice
Flatiron Dental,New York City,https://www.flatirondental.com,,+1 212-529-4200,@flatirondental,Flatiron District; cosmetic and general dentistry
Grand Dental NYC,New York City,https://www.granddentalnyc.com,,+1 212-757-2626,@granddentalnyc,Midtown West; multilingual dental team
Brooklyn Heights Dental,Brooklyn NY,https://www.brooklynheightsdental.com,,+1 718-222-4900,@brooklynheightsdental,Brooklyn Heights; premium dental care
Gentle Dental NYC,New York City,https://www.gentledental.com,,+1 212-888-0033,@gentledentalnyc,Multiple NYC locations; family-friendly practice
NYC Smile Design,New York City,https://www.nycsmiledesign.com,,+1 212-452-3344,@nycsmiledesign,Upper East Side; cosmetic smile transformation specialists
Park Avenue Dental,New York City,https://www.parkavenuedental.com,,+1 212-683-2530,@parkavenuedental,Midtown East; implants and advanced cosmetic dentistry
