Name,City,Website,Email,Phone,Instagram,Notes
Roto-Rooter NYC,New York City,https://www.rotorooter.com,,+1 212-683-8000,@rotorooter,National plumbing chain; 24/7 emergency service NYC
Petri Plumbing & Heating,Brooklyn NY,https://www.petriplumbing.com,,+1 718-748-4777,@petriplumbing,Bay Ridge Brooklyn; 100+ year old family plumbing company
Tidal Electric NYC,New York City,https://www.tidalelectric.com,,+1 718-395-9555,@tidalelectric,Brooklyn-based licensed electricians; commercial and residential
Empire State Plumbing,New York City,https://www.empireplumbingnyc.com,,+1 212-369-1999,@empireplumbingnyc,Upper Manhattan and Bronx; plumbing and drain services
Bolt Electric NYC,New York City,https://www.boltelectric.com,,+1 212-777-2658,@boltelectricnyc,Manhattan-based full-service electrical contractor
George Morlan Plumbing,New York City,https://www.georgemorlan.com,,+1 212-599-1700,@georgemorlannyc,Midtown Manhattan; plumbing supply and service
Citywide Plumbing NYC,New York City,https://www.citywideplumbingnyc.com,,+1 212-658-0100,@citywideplumbing,Manhattan plumber; 24/7 residential and commercial
NY Electrical Contractors,New York City,https://www.nyelectrical.com,,+1 212-766-5600,@nyelectrical,Licensed commercial and residential electricians; NYC
Sunshine Plumbing NYC,New York City,https://www.sunshineplumbingnyc.com,,+1 718-788-9700,@sunshineplumbingnyc,Brooklyn/Queens; family-run plumbing business
Pro Plumbing NYC,New York City,https://www.proplumbingnyc.com,,+1 212-996-6700,@proplumbingnyc,Upper Manhattan; licensed and insured plumbers
Brooklyn Electric Company,Brooklyn NY,https://www.brooklynelectric.com,,+1 718-393-0018,@brooklynelectric,Brooklyn electricians; panel upgrades and EV charging
Marra Plumbing,New York City,https://www.marraplumbing.com,,+1 718-847-5555,@marraplumbing,Queens; family-owned plumbing since 1982
All Borough Electrical,New York City,https://www.allboroughelectrical.com,,+1 718-392-3888,@allboroughelectrical,Queens-based; all NYC boroughs served
Green Apple Plumbing NYC,New York City,https://www.greenappleplumbing.com,,+1 212-220-9090,@greenappleplumbing,Eco-conscious NYC plumbers; Manhattan and Brooklyn
NYC Electricians Inc,New York City,https://www.nycelectricians.com,,+1 212-433-1000,@nycelectricians,Commercial electricians; Midtown and Wall St area
Rapid Response Plumbing,New York City,https://www.rapidresponseplumbing.com,,+1 718-306-6060,@rapidresponseplumbing,24/7 emergency plumber; Brooklyn and Queens
All City Contractors NYC,New York City,https://www.allcitycontractorsnyc.com,,+1 212-941-0200,@allcitycontractors,General contracting; renovation and repair NYC
Metro Plumbing & Heating,New York City,https://www.metroplumbingnyc.com,,+1 718-456-2500,@metroplumbing,Ridgewood Queens; boiler repair and plumbing
Bronx Plumbing Pros,New York City,https://www.bronxplumbingpros.com,,+1 718-933-1100,@bronxplumbingpros,The Bronx; residential and commercial plumbing
A-Team Electrical NYC,New York City,https://www.ateamelectrical.com,,+1 212-569-7000,@ateamelectrical,Washington Heights; licensed residential electricians
